Denominazione,Cronologia,s_l_m_,Ubicazione,Stato_Cons,Gestore,ico_image,Uso,weblink,Tipologia,note_,longitude,latitude,PRO_COM_T
Forte Castellaccio,XVI sec,145 m,Gravitelli,Accettabile,,http://gis.osservatorioturistico.sicilia.it/doc/foto/castelli/ico/2.jpg,Abbandonato,www.messinafortificata.it/fortificazioni-antiche/i-castelli/castellaccio.html,Fortezza,Fortezza a pianta quadrata con quattro bastioni angolari ha originepiù antiche rispetto alla struttura attualmente visibile alla quale mise mano anche l'ingegnere militare Antonio Ferramolino.,15.54291809155313,38.19607904999084,83048
Forte San Jachiddu,1889,330 m,Ritiro Messina,Ottimo,,http://gis.osservatorioturistico.sicilia.it/doc/foto/castelli/ico/3.jpg,Parco ecologico/Eventi socio-culturali,www.messinafortificata.it/forti-umbertini/san-jachiddu/forte-san-jachiddu.html,Batteria da Costa San Jachiddu,"Posto a 2200 m dalla costa, difendeva il porto da nord. Possiede un fossato ed un ingresso centrale a ponte levatoio. Era munito di sei postazioni per obice.",15.53955186074499,38.22336791046354,83048
Forte Schiaffino,1889,650 m ca,Santa Lucia sopra Contesse,Buono,,http://gis.osservatorioturistico.sicilia.it/doc/foto/castelli/ico/4.jpg,Ex canile,www.messinafortificata.it/forti-umbertini/schiaffino/forte-schiaffino.html,Batteria da Costa Monte Giulitta,Difendeva il porto a sud e la parte meridionale dello Stretto.Era munito di un fossato ed un ingresso a ponte levatoio. Possiede quattro postazioni per quattro cannoni.,15.517684186669827,38.15159977337856,83048
Forte Petrazza,1888,230 m ca,Tra Camaro Superiore e Bordonaro,Discreto,Parco Sociale Forte Petrazza,http://gis.osservatorioturistico.sicilia.it/doc/foto/castelli/ico/5.jpg,Eventi socio-culturali,www.messinafortificata.it/i-forti-umbertini/petrazza/forte-petrazza.html,Batteria da Costa Pietrazza,"Costruito a 2550 m.ca dalla costa a difesa del porto e dell'area centrale dello stretto; non è circondato da fossato; possiede un ingresso, quattro postazioni per cannone e sei per obice",15.52819505686772,38.18178141777832,83048
Forte Masotto,1884,415 m,Curcuraci,Ottimo,Demanio,http://gis.osservatorioturistico.sicilia.it/doc/foto/castelli/ico/6.jpg,Deposito armi,www.messinafortificata.it/forti-umbertini/masotto/forte-masotto.html,Batteria da Costa Polveriera,"Costruita con la funzione di polveriera,è seconda tra le fortificazioni umbertine per dimensioni. Ha un fossato, due ingressi e dieci postazioni per obice",15.560947029495004,38.25924712257135,83048
Forte Crispi,1887,360 m,Portella Arena,In rovina,,http://gis.osservatorioturistico.sicilia.it/doc/foto/castelli/ico/7.jpg,Abbandonato,www.messinafortificata.it/forti-umbertini/crispi/forte-crispi.html,Batteria da costa Menaja,Posto a difesa sia dello Stretto che del porto di messina possedeva un armamento di otto obici,15.561448087509032,38.24054718456172,83048
Forte Serra La Croce,1889,270 m,Curcuraci,Ottimo,Service 95 Soc.Coop. Sociale,http://gis.osservatorioturistico.sicilia.it/doc/foto/castelli/ico/8.jpg,Eventi socio-culturali,www.messinafortificata.it/forti-umbertini/serra-la-croce/forte-serra-la-croce.html,Batteria da Costa Serra della Croce,Controllava il versante tirrenico dello Stretto da Capo Calavà fino a Punta Faro. E' difeso da un fossato; possiede un ingresso con ponte levatoio. Possiede quattro postazioni per cannone,15.571588560746108,38.268899594298354,83048
Forte Monte dei Centri,1889,315 m,Salice,Ottimo,Azienda Agricola La Zagara Coop.Giovanile A.R.L.,http://gis.osservatorioturistico.sicilia.it/doc/foto/castelli/ico/9.jpg,Visitabile,www.messinafortificata.it/forti-umbertini/monte-dei-centri/forte-monte-dei-centri.html,Batteria di Monte dei Centri,Dista dalla costa tirrenica 2700 m.; è circondato da un fossato guardato da due caponiere; possiede un ingresso a ponte levatoio e quattro piazzole semicircolare per cannone,15.49284390548689,38.251503518660414,83048
Forte Campone,1889,500 m ca,Calvaruso,Ottimo,Demanio,http://gis.osservatorioturistico.sicilia.it/doc/foto/castelli/ico/10.jpg,Inattivo,www.messinafortificata.it/forti-umbertini/campone/forte-campone.html,Batteria di Monte Campone,"Posto a 3750 m dalla costa tirrenica; costruito su due livelli collegati da rampa è circondato da fossato, con un ingresso, All'interno sono otto piazzole per cannoni",15.461440826807456,38.20587488349884,83105
Forte Puntal Ferraro,1889,560 m,Colli San Rizzo,Ottimo,,http://gis.osservatorioturistico.sicilia.it/doc/foto/castelli/ico/11.jpg,Museo iconografico delle batterie umbertine,www.messinafortificata.it/forti-umbertini/puntal-ferraro/forte-puntal-ferraro.html,Batteria di Puntal Ferraro,Posto a 6.500 m ca dalla costa difendeva il porto di Milazzo sul versante tirrenico. Ha un ingresso con ponte levatoio sul fossat e sei postazioni per cannone,15.499238050486154,38.21302959755289,83048
